address,capital,company_id,company_name,description,foundation_date,industry,ipo_type,phone,president_name,twitter_screen_name,url
東京都中央区銀座6-8-1,0,116638,株式会社フォクシー,,,商業（卸売業、小売業）,未上場,03-3573-3803,前田 進,,https://www.foxey.co.jp/
 東京都新宿区新宿,500,39923,ファインピース株式会社,,2018-12,商業（卸売業、小売業）,未上場,0120-99-8802,木下寛士,FinePieceJP,https://ja.finepiece.global/
東京都港区高輪1-3-13,9968,69473,株式会社LASSIC,LASSICは、東京や大阪などの都心と地方を、人と企業を結び、雇用を生み出す様々なソリューションを展開しています。2006年の創業以来、「リモートワーク（遠隔開発）のリーディングカンパニー」「地方創生をビジネスで牽引する企業」を目指し、実績を積み重ねてきました。今後も「ITで、地方創生」という理念のもと、人と企業、都心と地方を結び、日本の豊かな未来創造に貢献するために、成長を続けてまいります。,2006-12,情報通信,未上場,03-6853-7111,若山 幸司,,https://www.lassic.co.jp/
東京都八王子市東中野216-1,1000,115842,株式会社ピアンタ,ピアンタは「低糖質」や「減塩」など消費者が注目している健康要素をもとに菓子・食品を開発し販売している企業です。,1990-06,製造業,未上場,042-670-9226,杉田昌之,,http://www.pianta-inc.jp/
"500 N Michigan Ave, Suite 600, Chicago, Illinois , UNITED STATES",0,67400,Report Ocean,,2018-1,サービス業,海外市場,1888-212-3539,Sandeep,,https://www.reportocean.com/
東京都港区南青山6-10-12,10000,19470,日本コロムビア株式会社,,1910-10,情報通信,未上場,03-5962-6990,阿部 三代松,NipponColumbia,https://columbia.jp/
東京都港区南青山2-2-15,1000,88039,合同会社　Te Amo Corporation,Te Amo Corporationは、世界に通用する日本人の育成を方針とし人材育成に力を入れています。一つ目は世界に通用する医者を育てる為、ルーマニアや、エストニア、スロバキア等の医科大学の正規入学をサポートします。二つ目は言語スキルの育成です。日本で他言語習得の場を提供します。三つ目は海外ボランティア等、世界を知る機会を提供します。また、国際協力で発展途上国での学校・病院等の設立を目指します,2021-08,0,未上場,03-6820-2739,Travis TenLon　,romania_med_uni,https://teamo-corporation.teamojp.info/
東京都江東区東陽2-4-2,0,49716,株式会社秀和システム,あなたの学びをサポートする。IT、ビジネス書を中心とした出版社です。,1981-6,情報通信,未上場,03-6264-3093,上田智一,shuwasystem_inf,https://www.shuwasystem.co.jp/
東京都中央区日本橋本石町3-1-2,900,54696,株式会社マークス不動産,,2010-3,不動産業,未上場,03-5299-7791,花原浩二,jobutsu_estate,https://marks-house.jp/
三重県津市城山1丁目14-2,50,107159,株式会社AWA,株式会社AWAはヘアケアのお悩みを解決する会社です。,2022-08,サービス業,未上場,,長崎弘幸,,https://www.a-w-a.co.jp/
東京都渋谷区渋谷2-24-12,0,54196,THE DREAM COLLECTIVE GLOBAL PTY LTD,,0-0,サービス業,未上場,050-1744-1744,サラ・リュー,,https://thedreamcollective.jp/
神奈川県 秦野市 寿町,0,70154,プロセニック株式会社,,2018-3,商業（卸売業、小売業）,未上場,,松下　健司,,https://www.proscenic.com/jp/
東京都品川区上大崎３－１－１　目黒セントラルスクエア,10000,2372,株式会社主婦の友社 ,,1916-9,製造業,未上場,03-5280-7500,平野健一,shfntm_PR,https://shufunotomo.co.jp/
東京都新宿区新小川町5-5,2500,17546,株式会社アガルート,,2014-6,0,未上場,,岩崎北斗,AGAROOTacademy,https://agaroot.co.jp/
東京都千代田区神田佐久間河岸55,0,116034,Out-Loop株式会社,「営業の属人性を爆発させる」ことをミッションに、SMB領域の商談獲得を中心に営業支援を展開しています。営業代行についてはお気軽にお問い合わせください。＜支援例＞・インサイドセールス代行・リードナーチャリング支援・インバウンド対応支援,2022-05,サービス業,未上場,,芳賀崇史,Takafumi_Haga,https://out-loop.co.jp
中之島2-13-18,0,111215,株式会社アースインフィニティ,2020年10月16日 - 東京証券取引所（ジャスダックスタンダード）に株式上場。2016年の電力小売全面自由化後、新電力会社では初となる会社。エネルギー事業（電力及びガスの小売販売業）を主軸に太陽光パネル、蓄電池等の販売を積極的に展開。また、経団連、一般社団法人メタバース推進協議会等に加盟している。,,商業（卸売業、小売業）,,06-4967-2222,濵田幸一,EarthInfinityIR,https://earth-infinity.co.jp/index.html
東京都千代田区丸の内1-8-3,0,116145,TOMA100年企業創りコンサルタンツ株式会社,"100年企業創りコンサルティングをライフワークとし、数多くの経営相談、事業承継対策の支援を経験してきた藤間秋男が代表を務める会社です。弊社は""絆""を大切にした経営相談・後継者探し支援・育成支援などをしてきました。血の通った事業承継、経営のお手伝いをしていきます。丁寧に今の状況をお伺いし、最適なご提案をいたします。",,サービス業,未上場,03-6266-2559,藤間秋男,toma_akio,
東京都渋谷区広尾1-7-7 ,2690,25659,株式会社エンファクトリー,これからの世の中は、生活や、働き方、生き方を想像し、自らデザインし、実行する時代です。そのためには、既成概念を取り払って、あらゆる「もの・ひと・こと」をあわせ、つなげるなかで、新たな気付きや機会を得ることがとても大切です。わたしたちは、たくさんの「en」を創造し、地域、組織、社会の一人ひとりの「生きるを、デザイン」を応援していきます！！,2011-4,サービス業,未上場,03-6869-6801,加藤健太,enfactory,https://enfactory.co.jp/
東京都港区南麻布2丁目15番5号,40127,46744,株式会社いいオフィス,,2018-4,サービス業,未上場,03-4550-0197,龍崎宏,,https://e-office.inc/
東京都新宿区西新宿1丁目25番1号,0,75909,株式会社天職市場,貴社の「つながる、ひろがる、ずっと使える」メディアへ   株式会社天職市場  https://www.1049.cc/,2006-8,サービス業,未上場,03-6704-4921,春名 敬太,,https://www.1049.cc/
神奈川県海老名市中新田5-24-1,0,78304,株式会社MOTTERU,私たちは2020年に神奈川県海老名市で設立されたデジタルアクセサリーの会社です。誰もが持ちたくなるプロダクトをクリエイティブな発想とテクノロジーで実現し、人々の暮らしを華やかに、そして人々の役に立つことが私たちのミッションです。,2020-1,製造業,未上場,,櫻田 良太,motteru_enjoy,https://motteru.co.jp/
東京都千代田区九段南1-5-6,0,101866,株式会社Chimney Coffee,「頑張るあなたに、小さな一息を。」というコンセプトのもと、ラオスのコーヒー豆を使用したこだわりのスペシャルティコーヒーやグッズを丁寧に届けています。,2021-07,0,未上場,03-5776-3506,山邊諒太郎,shibuya_chimney,https://chimney-coffee.com/
中央区日本橋堀留町1-9-8,310000,36528,株式会社LayerX,LayerXは、「すべての経済活動を、デジタル化する。」をミッションに掲げるSaaS+FinTechスタートアップです。 法人支出管理サービス「バクラク」を中心に、デジタルネイティブなアセットマネジメント会社を目指す合弁会社「三井物産デジタル・アセットマネジメント」、プライバシー保護技術「Anonify」で組織横断のデータ利活用を目指すPrivacyTech事業などを開発・運営しています。,2018-8,情報通信,未上場,,福島良典,LayerXcom,https://layerx.co.jp/
東京都中央区京橋3丁目1番1号,0,84007,OPN株式会社,Opn（旧ブランド名SYNQA）は、2013年に日本とアジアで設立され、ワンストップの決済ソリューションとDX・ソリューションを専門としています。Opnは、「Access to the Digital Economy for Everyone」というビジョンのもと、成長する経済エコシステムへの公正でオープンなアクセスを提供し、革新的な方法で人々、企業、社会をつないでいきます。,2015-01,金融・保険業,未上場,,長谷川潤,,
東京都港区六本木5-11-25,1000,23043,株式会社ハー・ストーリィ,女性視点マーケティング®を通じて“あしたのしあわせ”を創造するリーディング企業,1990-8,サービス業,未上場,03-5775-1581,日野佳恵子,,http://herstory.co.jp/
東京都港区南麻布1−27−13,1000,109419,株式会社ソリゾ,「Smile is the best Makeup」〜笑顔は最高のお化粧〜をコンセプトに新たなエイジングケア美容液の開発を行なっております。,2011-01,商業（卸売業、小売業）,未上場,03-6447-1187,山中妙華子,,https://reborna.jp/
福岡県福岡市博多区博多駅東2-1-23,1404183,25581,株式会社サニックス,「次世代へ快適な環境を」を企業理念とし、環境とエネルギーに関する事業に取り組んでいます。戸建住宅・集合住宅の衛生管理・設備保全から、太陽光発電の製造・販売・施工、産業廃棄物の燃料化および当燃料による発電事業、電力小売まで、多岐にわたる事業を通じて、脱炭素社会ならびに資源循環型社会の実現に貢献してまいります。,1978-9,サービス業,,092-436-8870,宗政　寛,,http://sanix.jp/company/index.php
東京都千代田区平河町2-5-3,0,33766,株式会社TRUSTDOCK,,2018-4,情報通信,未上場,,千葉 孝浩,,https://biz.trustdock.io/
